,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
10804,c_c013648,광주 북구 생용동 658,0.0,1,0,5.0,4.0,4.0,4.3333,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;1;2;7;
10808,c_c013651,충남 천안시 동남구 풍세면 풍서리,0.0,7,0,3.0,3.0,3.0,3.0,9.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,7.0,12;22;24;26;27;
10809,c_c013651,충남 아산시 인주면 공세리 194-1,0.0,2,0,5.0,4.0,5.0,4.6667,9.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,7.0,12;22;24;26;27;
10810,c_c013652,대전 유성구 도룡동 3-1,0.0,6,0,5.0,5.0,5.0,5.0,4.0,3.0,9.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,6.0,6.0,2;21;22;
10811,c_c013652,대전 서구 만년동 396,0.0,1,0,5.0,5.0,5.0,5.0,4.0,3.0,9.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,6.0,6.0,2;21;22;
10812,c_c013660,충남 서산시 해미면 읍내리 491,0.0,2,1,5.0,5.0,5.0,5.0,7.0,3.0,9.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,1.0,3.0,0
10813,c_c013662,전북 고창군 고창읍 읍내리 산 9,0.0,2,1,4.0,4.0,4.0,4.0,3.0,1.0,2.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,5.0,1;10;2;25;3;
10814,c_c013662,충남 예산군 응봉면 후사리 35,0.0,1,0,3.0,2.0,2.0,2.3333,3.0,1.0,2.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,5.0,1;10;2;25;3;
10815,c_c013662,충남 예산군 응봉면 후사리 88,0.0,13,0,4.0,2.0,4.0,3.3333,3.0,1.0,2.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,5.0,1;10;2;25;3;
10816,c_c013662,충남 예산군 덕산면 사동리 362,0.0,6,1,4.0,4.0,4.0,4.0,3.0,1.0,2.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,5.0,1;10;2;25;3;
10817,c_c013662,충남 예산군 대흥면 동서리 84-8,0.0,8,0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,5.0,1;10;2;25;3;
10818,c_c013662,전북 고창군 심원면 연화리 산 130,0.0,2,1,4.0,4.0,4.0,4.0,3.0,1.0,2.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,2.0,5.0,1;10;2;25;3;
10819,c_c013663,전북 전주시 완산구 풍남동3가 64-1,0.0,7,1,4.0,4.0,5.0,4.3333,4.0,9.0,10.0,10.0,4.0,4.0,7.0,1.0,1.0,4.0,4.0,7.0,4.0,1;26;4;9;
10820,c_c013673,대전 중구 대흥동 630,0.0,4,0,3.0,3.0,3.0,3.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
10821,c_c013673,대전 유성구 봉명동 2-1,0.0,1,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
10822,c_c013674,충남 예산군 덕산면 사천리 19,0.0,2,1,5.0,5.0,5.0,5.0,4.0,1.0,8.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,3;
