,Unnamed: 0,TRAVEL_ID,VISIT_AREA_ID,GENDER,INCOME,TRAVEL_MISSION,REL_CD,LODGING_TYPE_CD,TRAVEL_MISSION_1,TRAVEL_MISSION_2,TRAVEL_MISSION_3,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,COMPANION_AGE_GRP,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,LOTNO_ADDR,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD
15575,16990,c_c011567,2210300004,0,4.0,2;22;25;6;9;,5.0,0.0,2,22.0,25.0,7.0,3.0,10.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,7.0,4.0,0,3.0,3.0,3.0,3.0,전남 곡성군 곡성읍 읍내리 832-91,4,127.3012706,3528140084
15576,16991,c_c011567,2210300003,0,4.0,2;22;25;6;9;,5.0,0.0,2,22.0,25.0,7.0,3.0,10.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,7.0,4.0,0,4.0,4.0,4.0,4.0,전남 곡성군 곡성읍 읍내리 796,11,127.2936205,3527843623
15577,16992,c_c011568,2211010005,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,5.0,3.0,5.0,4.3333,전남 담양군 월산면 화방리 609-6,3,126.9552107,3533691061
15578,16993,c_c011568,2211010006,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,2.0,2.0,3.0,2.3333,전남 담양군 담양읍 학동리 586-1,6,127.0029122,3532204415
15579,16994,c_c011568,2211020002,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,5.0,5.0,5.0,5.0,전남 담양군 담양읍 향교리 산 44,2,126.9859309,3532783715
15580,16995,c_c011568,2211010009,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,4.0,2.0,3.0,3.0,전남 담양군 담양읍 객사리 211-5,11,126.9837012,3532418466
15581,16996,c_c011568,2211010008,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,5.0,5.0,5.0,5.0,전남 담양군 담양읍 객사리 1,1,126.986002,3532387128
15582,16997,c_c011568,2211020004,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,5.0,5.0,5.0,5.0,전남 담양군 창평면 창평리 250,11,127.0143811,3523851058
15583,16998,c_c011568,2211010007,0,2.0,2;22;23;6;8;,8.0,0.0,2,22.0,23.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,7.0,3.0,0,5.0,5.0,5.0,5.0,전남 담양군 담양읍 학동리 59-14,7,127.0044299,353239333
15584,16999,c_c011576,2210300005,0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,5.0,10.0,7.0,4.0,5.0,2.0,2.0,7.0,4.0,7.0,7.0,0.0,0,5.0,5.0,5.0,5.0,대전 유성구 봉명동 2-1,8,127.3574414,3635997097
15585,17000,c_c011576,2210310001,0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,5.0,10.0,7.0,4.0,5.0,2.0,2.0,7.0,4.0,7.0,7.0,0.0,0,4.0,4.0,4.0,4.0,대전 유성구 봉명동 37-2,1,127.3568649,3635765487
15586,17001,c_c011576,2210300006,0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,5.0,10.0,7.0,4.0,5.0,2.0,2.0,7.0,4.0,7.0,7.0,0.0,0,5.0,5.0,5.0,5.0,대전 유성구 구성동 23,13,127.3612861,3637049682
15587,17002,c_c011576,2210300003,0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,5.0,10.0,7.0,4.0,5.0,2.0,2.0,7.0,4.0,7.0,7.0,0.0,0,5.0,5.0,5.0,5.0,대전 유성구 궁동 410-1,11,127.3500559,3636253324
15588,17003,c_c011576,2210310002,0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,5.0,10.0,7.0,4.0,5.0,2.0,2.0,7.0,4.0,7.0,7.0,0.0,0,5.0,5.0,5.0,5.0,대전 유성구 도룡동 3-1,6,127.3880837,3637662906
15589,17004,c_c011582,2210280006,0,4.0,28;4;,0.0,0.0,28,4.0,0.0,2.0,3.0,7.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,0.0,0,4.0,4.0,4.0,4.0,전북 정읍시 연지동 44-14,11,126.8465406,3557226921
15590,17005,c_c011582,2210290001,0,4.0,28;4;,0.0,0.0,28,4.0,0.0,2.0,3.0,7.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,0.0,0,4.0,4.0,4.0,4.0,전북 전주시 완산구 풍남동3가 64-1,7,127.1525571,3581482431
