,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
14053,c_c007998,충남 태안군 남면 신온리,0.0,1,1,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5;
14054,c_c007998,충남 태안군 안면읍 창기리 1265-1,0.0,11,1,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5;
14055,c_c007998,충남 홍성군 서부면 궁리 710-21,0.0,11,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5;
14056,c_c008004,충남 보령시 신흑동 1871,0.0,11,0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,7.0,2.0,8;24;
14057,c_c008004,충남 보령시 신흑동 2240-6,0.0,4,0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,7.0,2.0,8;24;
14058,c_c008005,전남 순천시 오천동 600,0.0,1,1,5.0,4.0,5.0,4.6667,5.0,2.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,0
14059,c_c008005,전남 순천시 장천동 31-22,0.0,11,0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,0
14060,c_c008005,전남 순천시 낙안면 남내리 438-1,0.0,7,1,5.0,5.0,5.0,5.0,5.0,2.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,0
14061,c_c008005,전남 순천시 덕암동 169,0.0,4,0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,0
14062,c_c008005,전남 보성군 벌교읍 벌교리 865-14,0.0,11,1,4.0,4.0,4.0,4.0,5.0,2.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,0
14063,c_c008009,충북 괴산군 괴산읍 동부리 549-6,0.0,4,0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,7.0,2.0,2.0,6.0,6.0,2.0,2.0,6.0,2.0,2.0,21;22;26;
14064,c_c008010,충남 아산시 탕정면 명암리 949-4,0.0,13,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
14065,c_c008010,충남 아산시 염치읍 백암리 502-3,0.0,1,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
